id_run,self1,self2,self3,self4,self5,self6,self7,self8,self9,self10,self11,self12,third1,third2,third3,third4,third5,third6,third7,third8,third9,third10,third11,third12,Agency3,Allocentrism3,Coalition3,Ethos3,Exchange3,Intentionality3,Logos3,Might3,Network3,Pathos3,SA3,Team3,Agency1,Allocentrism1,Coalition1,Ethos1,Exchange1,Intentionality1,Logos1,Might1,Network1,Pathos1,SA1,Team1
1,2.8,3.333333,2.666667,2.25,2.833333,Often,3.4,2.166667,3.5,3.166667,3.166667,3.8,3.675,3.708333,3.395833,2.709677,3.166667,3.458333,3.575,2.4375,3.729167,3.125,3.354167,3.45,99,99,96,20,92,76,86,18,98,73,90,97,29,73,41,21,56,43,55,31,78,77,69,96
2,2.8,3.333333,Often,Often,2.666667,Always,2.8,2.833333,3.5,2.5,3.166667,Often,3.05,3.0625,2.9375,2.8125,2.916667,3.291667,2.975,2.895833,3.020833,2.520833,2.895833,2.825,27,35,45,31,67,54,13,65,26,1,18,40,29,73,67,69,40,98,18,73,78,25,69,68
3,3.2,2.5,2.166667,2.25,3.166667,2.5,3.2,1.333333,2.5,2.833333,3.333333,Occasionally,3.291139,3.15625,2.802083,2.619048,2.688889,3.166667,3.3125,2.354839,2.98913,2.895833,3.170213,2.5,58,51,27,14,30,33,52,10,21,38,63,13,64,9,13,21,78,10,42,0,25,52,80,9
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.2,3.166667,Occasionally,2.25,2.5,3.833333,3.6,2.5,2.166667,Occasionally,2.833333,1.4,2.52,2.616667,2.288136,2.4,2.206897,3.1,3.265306,2.410714,2.3,2.186441,2.824561,1.76,2,1,0,4,0,26,44,15,0,0,9,0,3,56,7,21,32,96,75,53,10,6,37,0
6,2.2,1.833333,2.5,Occasionally,2.666667,2.5,2.6,3.833333,1.333333,1.833333,2.333333,2.4,3.125,3.208333,3.041667,2.71875,2.729167,3.1875,3.175,3.104167,3.404255,3.020833,3.085106,2.975,34,59,62,21,35,36,33,88,75,58,47,58,3,0,30,11,40,10,9,98,0,2,6,26
7,Often,2.5,1.833333,2.25,2.833333,3.166667,3.2,2.333333,2.166667,2.166667,3.333333,1.8,3.25,3.229167,3.083333,3.4375,3.020833,3.479167,3.325,2.6875,3.25,3.145833,3.125,3.125,50,63,67,94,80,81,55,44,54,76,54,75,42,9,3,21,56,59,42,43,10,12,80,2
8,Always,2.8,3.75,2.666667,3.166667,3.5,2.666667,Always,2.8,Occasionally,2.5,2.333333,3.333333,2.657143,3.607143,3.285714,2.780488,3.476191,2.714286,3.514286,3.542857,2.642857,2.738095,2.428571,66,2,99,85,42,81,1,98,92,10,3,8,98,26,98,51,78,84,16,99,38,6,14,26
9,3.2,3.166667,2.166667,Often,Occasionally,3.666667,Always,2.666667,Occasionally,3.166667,3.666667,3.2,3.353846,2.987013,2.662338,2.942308,2.589744,3.435897,3.78125,2.805195,3.064935,2.961039,3.051282,2.640625,71,28,13,50,20,74,98,54,32,49,40,22,64,56,13,69,5,92,96,64,6,77,94,82
10,2.6,Often,2.666667,2.25,2.666667,3.166667,2.6,2.833333,2.5,Often,2.5,Occasionally,2.975,2.958333,2.9375,2.84375,2.770833,3.166667,3.25,2.708333,2.6875,2.916667,2.893617,2.725,20,24,45,38,42,33,40,47,6,42,18,30,21,40,41,21,40,59,9,73,25,66,14,9
11,3.2,2.5,2.333333,1.75,2.166667,2.5,Often,2.333333,3.166667,Occasionally,Often,2.6,2.84,2.8,2.8,2.8,2.5,Often,3.24,2.566667,3.166667,Often,3.133333,2.68,12,10,26,29,11,15,40,30,45,52,57,25,64,9,20,3,10,10,29,43,55,6,50,41
12,2.8,2.333333,2.166667,3.25,2.666667,2.666667,2.8,3.5,2.333333,2.666667,2.666667,2.6,2.893333,2.544445,2.611111,3.067797,2.348315,2.744444,3.093333,3.244444,2.777778,2.786517,2.866667,2.306667,16,0,8,66,2,3,21,95,8,24,13,2,29,5,13,85,40,17,18,93,16,38,25,41
13,3.4,2.833333,3.166667,2.75,3.166667,2.666667,3.8,Rarely,3.333333,2.333333,3.166667,1.8,3.288889,3.222222,3.075472,2.916667,3.111111,3.62963,3.577778,2.925926,3.074074,2.777778,3.222222,2.866667,57,61,66,47,87,96,87,70,34,21,73,46,79,28,77,53,78,17,86,0,66,19,69,2
14,3.4,3.166667,3.166667,Occasionally,2.666667,Often,Occasionally,2.5,3.333333,2.833333,2.666667,3.6,3.571429,2.976191,3.261905,3.142857,2.809524,3.071429,2.657143,3.071429,3.619048,3.095238,2.904762,3.457143,93,26,89,72,48,22,0,83,96,69,20,98,79,56,77,11,40,43,0,53,66,52,25,93
15,2.2,2.666667,Occasionally,2.5,1.833333,2.833333,3.8,3.166667,2.666667,2.166667,Occasionally,1.8,2.911111,2.584906,2.528302,3.305556,2.471698,2.903846,2.911111,2.960784,2.849057,2.615385,2.64151,2.422222,18,1,5,87,9,6,9,74,12,7,1,7,3,18,7,38,2,27,86,89,31,12,0,2
16,Often,Often,2.5,3.25,3.666667,2.666667,3.2,2.833333,3.5,2.833333,2.333333,2.2,3.542857,3.357143,3.35,3.285714,2.9,3.666667,3.485714,3.095238,3.725,3.095238,3.404762,3.057143,92,79,95,85,63,98,78,87,98,69,94,68,42,40,30,85,97,17,42,73,78,52,6,15
17,,,,,,,,,,,,,3.295455,3.377358,3.018868,3.114286,2.814815,3.203704,3.272727,2.788461,3.333333,3.365385,3.074074,3.177778,59,81,59,68,48,40,45,52,66,95,46,82,,,,,,,,,,,,
18,3.2,3.5,3.166667,3.25,2.666667,3.5,3.4,2.333333,Always,3.333333,3.166667,3.4,3.46,3.066667,3.05,3.275,2.783333,3.5,3.32,2.733333,3.75,3.1,3.116667,2.98,84,36,64,85,44,84,53,49,99,70,51,60,64,84,77,85,40,84,55,43,93,86,69,87
19,3.166667,2.8,2.833333,3.2,2.833333,2.5,2.833333,2.166667,2.833333,2.8,Often,2.25,3.514286,3.333333,3.305556,3.533333,3.5,3.277778,3.527778,3.638889,3.583333,3.533333,3.388889,3.541667,89,76,92,97,99,53,81,99,93,98,93,99,62,26,57,83,56,10,28,31,39,50,50,25
20,1.8,Often,2.333333,2.75,2.5,2.833333,3.4,2.333333,3.333333,2.833333,3.5,2.4,2.05,2.666667,2.416667,3.03125,2.479167,2.708333,2.675,2.479167,2.791667,2.708333,2.625,2.4,0,3,0,62,9,2,0,22,9,16,0,6,0,40,20,53,32,27,55,43,66,52,89,26
21,3.2,3.5,3.5,Often,3.5,3.333333,3.4,Often,3.5,2.666667,3.166667,3.2,3.133333,3.027778,2.555556,3.083333,2.638889,3.361111,3.266667,2.722222,2.972222,2.722222,2.972222,2.833333,35,32,6,67,25,63,45,48,19,17,30,41,64,84,93,69,93,72,55,82,78,38,69,82
22,3.4,3.5,2.833333,2.75,2.666667,3.5,Always,2.666667,3.333333,2.5,2.833333,2.2,3.314286,3.333333,3.097561,2.964286,3.02439,3.333333,3.714286,2.904762,3.595238,3.214286,3.261905,3.285714,63,76,68,55,81,58,97,68,95,84,78,92,79,84,57,53,40,84,96,64,66,25,37,15
23,Often,2.833333,2.666667,2.25,2.166667,2.666667,2.4,2.333333,2.666667,2.5,2.5,3.2,3.090909,3.169811,2.901961,2.857143,2.960784,3.075472,2.795455,2.352941,3.403846,2.888889,2.830189,2.976744,31,53,37,39,75,23,4,9,74,36,10,60,42,28,41,21,10,17,5,43,31,25,14,82
24,Often,2.5,2.666667,2.25,3.166667,3.833333,3.2,Often,3.333333,Occasionally,2.5,2.8,3.489796,3.233333,2.933333,2.475,2.633333,3.576271,3.44,2.333333,3.316667,2.8,3.183333,2.82,87,64,44,7,24,93,71,8,65,26,64,38,42,9,41,21,78,96,42,82,66,6,14,54
